"b","f","n","four_means_ce","four_means_pe","three_means_ce","three_means_pe","two_means_ce","two_means_pe","SCT_ce","SCT_pe"
40,232,12,0.0,0.0,0.89018303,-14.50586223602295,0.89018303,-14.50586223602295,0.8968386,-14.506551742553711
46,178,8,0.0,0.0,1.0,-14.839492797851562,1.0,-14.839492797851562,1.0,-14.839492797851562
11,138,14,0.0,0.0,-8.381426,-11.552785873413086,-8.452736,-11.615652084350586,0.0,0.0
37,182,10,0.0,0.0,0.97590363,-14.571206092834473,0.9776248,-14.571378707885742,0.9827883,-14.571898460388184
15,189,10,0.0,0.0,-7.8238254,-12.980101585388184,-7.7298656,-12.999659538269043,0.0,0.0
11,185,5,0.0,0.0,-3.0443685,-13.235322952270508,-2.9812286,-13.243313789367676,0.0,0.0
37,156,12,0.0,1.7283097258768976E-4,0.77757686,-14.533356666564941,0.7848101,-14.534048080444336,0.81916815,-14.537331581115723
26,162,6,0.0,0.0,0.994941,-15.253747940063477,0.994941,-15.253747940063477,0.99662733,-15.253928184509277
16,223,16,0.0,0.0,-9.911222,-10.037322044372559,-9.926298,-10.060722351074219,0.0,0.0
50,237,15,0.0,0.0,0.8818182,-14.794695854187012,0.88545454,-14.795047760009766,0.9145455,-14.797857284545898
8,175,19,-0.0016474464,3.242016537114978E-4,-3.4497528,-8.56589412689209,-3.5831962,-8.607553482055664,1.0,1.0
34,220,8,0.0,0.0,0.998366,-13.51596736907959,0.998366,-13.51596736907959,0.998366,-13.51596736907959
14,163,20,-0.0016835016,0.0014404032845050097,-7.7205386,-11.061576843261719,-7.826599,-11.107850074768066,1.0,1.0
41,240,13,0.0,0.0,0.8181818,-14.236610412597656,0.82167834,-14.23694896697998,0.8706294,-14.241694450378418
24,172,13,0.0,0.0,-4.345118,-15.493399620056152,-4.2457914,-15.508705139160156,0.0,0.0
24,194,13,0.0,0.0,-4.6303573,-16.023893356323242,-4.517857,-16.041074752807617,0.0,0.0
18,133,13,0.0,0.0,-8.762652,-11.339808464050293,-8.6858635,-11.36606502532959,0.0,0.0
15,212,7,0.0,0.0,-2.897924,-14.883057594299316,-2.8235295,-14.893771171569824,0.0,0.0
50,227,18,0.0,0.0,0.5355932,-13.722678184509277,0.55762714,-13.724811553955078,0.60847455,-13.729898452758789
43,222,9,0.0,0.0,0.9982993,-17.148618698120117,0.9982993,-17.148618698120117,0.9982993,-17.148618698120117
15,223,7,0.0,0.0,-3.1364453,-16.013429641723633,-3.0610414,-16.02452278137207,0.0,0.0
12,125,16,-0.003220612,0.001884303754195571,-7.8019323,-11.785377502441406,-7.9436393,-11.855473518371582,1.0,1.0
47,164,7,0.0,0.0,1.0,-14.870217323303223,1.0,-14.870217323303223,1.0,-14.870217323303223
13,135,19,-0.012323944,0.0030614081770181656,-7.9225354,-10.9638032913208,-8.049295,-11.02178955078125,1.0,1.0
19,191,19,0.0,0.0,-9.14619,-11.144648551940918,-9.181959,-11.172503471374512,0.0,0.0
26,209,17,0.0,0.0,-7.304647,-15.562798500061035,-7.2168674,-15.581875801086426,0.0,0.0
49,215,10,0.0,0.0,1.0,-14.042620658874512,1.0,-14.042620658874512,1.0,-14.042620658874512
16,187,20,0.0,3.456619451753795E-4,-9.181661,-11.062392234802246,-9.271626,-11.104217529296875,1.0,1.0
29,173,5,0.0,0.0,1.0,-13.462477684020996,1.0,-13.462477684020996,1.0,-13.462477684020996
39,201,18,-0.0017035775,-1.620482944417745E-4,-1.6507666,-13.310970306396484,-1.5979557,-13.31648063659668,1.0,1.0
13,212,13,0.0,0.0,-9.673841,-10.932580947875977,-9.687086,-10.961451530456543,0.0,0.0
16,192,17,0.0,0.0,-9.861301,-10.882667541503906,-9.895548,-10.913339614868164,0.0,0.0
26,208,11,0.0,0.0,-0.8730703,-14.885034561157227,-0.85077184,-14.887717247009277,0.0,0.0
50,216,17,0.0,0.0,0.7037037,-14.27065658569336,0.7171717,-14.272016525268555,0.7626263,-14.276606559753418
40,201,14,0.0,0.0,0.52396166,-14.577630996704102,0.53194886,-14.578499794006348,0.0,0.0
1,137,17,0.0,3.051571547985077E-4,0.11980033,-6.201861381530762,0.079866886,-6.2523651123046875,1.0,1.0
18,150,5,0.0,0.0,0.9303483,-15.373862266540527,0.93532336,-15.374408721923828,0.97512436,-15.378776550292969
38,232,9,0.0,0.0,0.9983108,-15.417183876037598,0.9983108,-15.417183876037598,1.0,-15.417366027832031
27,209,7,0.0,0.0,0.9900332,-15.27672290802002,0.9900332,-15.27672290802002,0.99335545,-15.277084350585938
50,233,6,0.0,0.0,1.0,-14.410959243774414,1.0,-14.410959243774414,1.0,-14.410959243774414
16,236,16,0.0,0.0,-9.234178,-10.454405784606934,-9.251582,-10.478240966796875,0.0,0.0
50,223,10,0.0,0.0,1.0,-15.257225036621094,1.0,-15.257225036621094,1.0,-15.257225036621094
15,175,6,0.0,0.0,-0.97923875,-16.104623794555664,-0.9134948,-16.112524032592773,0.0,0.0
24,206,12,0.0,0.0,-3.2190812,-13.413832664489746,-3.1289752,-13.423737525939941,0.0,0.0
47,195,19,0.0016393443,3.3670032280497253E-4,-0.047540985,-14.040572166442871,-0.011475409,-14.044612884521484,1.0,1.0
7,129,17,0.0,0.0010903143556788564,-3.1101837,-9.505906105041504,-3.3071787,-9.578956604003906,1.0,1.0
46,220,11,0.0,0.0,0.99647266,-14.613809585571289,0.99647266,-14.613809585571289,0.99647266,-14.613809585571289
30,188,19,-0.0016051364,-1.7421602387912571E-4,-6.1348314,-13.661324501037598,-6.05939,-13.679790496826172,1.0,1.0
24,206,10,0.0,0.0,-0.7482877,-13.814229011535645,-0.7037671,-13.818560600280762,0.0,0.0
38,240,16,0.0,0.0,-0.5873786,-15.694314002990723,-0.5388349,-15.70069408416748,0.0,0.0
46,235,7,0.0,0.0,1.0,-15.534998893737793,1.0,-15.534998893737793,1.0,-15.534998893737793
13,231,18,0.0,0.0,-7.8113823,-10.065546989440918,-7.887805,-10.097342491149902,0.0,0.0
16,215,9,0.0,0.0,-5.987478,-15.225972175598145,-5.898032,-15.241418838500977,0.0,0.0
19,207,19,0.0,0.0,-10.482578,-13.081066131591797,-10.5,-13.112433433532715,0.0,0.0
25,177,9,0.0,0.0,0.2444062,-15.632244110107422,0.26506025,-15.634472846984863,0.0,0.0
28,143,19,-0.018675722,0.0033543803729116917,-7.713073,-15.332478523254395,-7.5636673,-15.367205619812012,1.0,1.0
42,217,17,0.0,0.0,-0.16260162,-13.470817565917969,-0.12520325,-13.474708557128906,0.0,0.0
19,141,14,0.0,1.7111568013206124E-4,-8.547264,-12.810916900634766,-8.457711,-12.840691566467285,1.0,1.0
16,137,8,0.0,0.0,-3.715947,-14.752498626708984,-3.5697675,-14.772306442260742,0.0,0.0
22,199,10,0.0,0.0,-1.6732674,-14.069159507751465,-1.630363,-14.074965476989746,0.0,0.0
18,232,6,0.0,0.0,0.510274,-13.665522575378418,0.52226025,-13.666666984558105,0.0,0.0
7,238,17,0.0,0.0,-3.3144877,-8.893453598022461,-3.4310954,-8.929594039916992,0.0,0.0
1,142,17,0.0,3.599711926653981E-4,0.2753623,-7.31767463684082,0.23349437,-7.384989261627197,1.0,1.0
1,122,24,-0.09137931,0.02080443874001503,0.18448275,-7.15273904800415,0.12241379,-7.2330098152160645,1.0,1.0
43,145,6,0.0,0.0,1.0,-15.319129943847656,1.0,-15.319129943847656,1.0,-15.319129943847656
48,233,24,0.0,1.9758941198233515E-4,-2.4105623,-16.341632843017578,-2.350937,-16.350128173828125,1.0,1.0
12,145,20,-0.0070422534,0.002493321429938078,-6.9014087,-10.4771146774292,-7.068662,-10.536419868469238,1.0,1.0
14,64,15,-1.4911972,-0.049209486693143845,-10.193662,-13.445257186889648,-10.308099,-13.758102416992188,1.0,1.0
49,232,24,0.0017361111,7.321984157897532E-4,-2.1961806,-15.102141380310059,-2.125,-15.11111068725586,1.0,1.0
23,109,17,-0.08688524,0.018445530906319618,-8.229508,-11.795207023620605,-8.096722,-11.835724830627441,1.0,1.0
11,81,18,-0.59380096,0.01851211115717888,-6.62969,-10.236678123474121,-7.4110928,-10.521452903747559,1.0,1.0
9,186,5,0.0,0.0,-6.423077,-12.07901668548584,-6.3277593,-12.093949317932129,0.0,0.0
14,186,16,0.0,0.0,-9.28524,-11.277241706848145,-9.373135,-11.316206932067871,0.0,0.0
12,121,22,-0.18286656,0.014028056524693966,-5.7907743,-8.803606986999512,-6.0510707,-8.871280670166016,1.0,1.0
39,160,25,-0.12706271,0.025636756792664528,-5.993399,-13.035958290100098,-5.856436,-13.063093185424805,1.0,1.0
35,226,17,0.0,0.0,-2.2453468,-14.341131210327148,-2.2013535,-14.346892356872559,0.0,0.0
10,115,25,-0.36720142,0.04479850083589554,-3.9483066,-10.014995574951172,-4.7094474,-10.267666816711426,1.0,1.0
1,140,19,0.0,5.485463771037757E-4,0.21890548,-7.508319854736328,0.17910448,-7.566465377807617,1.0,1.0
45,202,12,0.0,0.0,0.9865546,-14.919334411621094,0.9865546,-14.919334411621094,0.99663866,-14.920395851135254
27,107,11,-0.0017825312,0.0016251354245468974,-0.4688057,-15.097688674926758,-0.4171123,-15.103466987609863,1.0,1.0
32,207,9,0.0,0.0,0.9514563,-14.781441688537598,0.9514563,-14.781441688537598,0.9773463,-14.784248352050781
3,201,19,0.0,0.0,-0.31881532,-7.901157379150391,-0.36236933,-7.944790840148926,0.0,0.0
28,103,7,0.0,0.0,0.9843206,-13.419323921203613,0.9843206,-13.419323921203613,0.9860627,-13.41948413848877
13,210,6,0.0,0.0,-2.794168,-13.363099098205566,-2.7358491,-13.369993209838867,0.0,0.0
25,125,15,-0.005235602,0.0021330229938030243,-6.061082,-15.459763526916504,-5.91623,-15.489044189453125,1.0,1.0
1,129,17,0.0,3.5511364694684744E-4,0.28691274,-7.223188877105713,0.24496645,-7.290482997894287,1.0,1.0
6,172,16,0.0,0.0,-2.1671925,-8.942235946655273,-2.318612,-9.002649307250977,0.0,0.0
40,140,5,0.0,0.0,1.0,-16.107013702392578,1.0,-16.107013702392578,1.0,-16.107013702392578
19,208,19,0.0,0.0,-9.584565,-11.569601058959961,-9.615764,-11.596869468688965,0.0,0.0
39,175,21,-0.014925373,0.0030374620109796524,-3.7131011,-13.628417015075684,-3.636816,-13.639386177062988,1.0,1.0
22,211,11,0.0,0.0,-3.1513157,-14.65971565246582,-3.0822368,-14.669782638549805,0.0,0.0
16,204,24,0.0,8.611780940555036E-4,-7.7249575,-10.4874267578125,-7.818336,-10.524802207946777,1.0,1.0
25,87,19,-1.4262023,0.003745956113561988,-8.343284,-12.816448211669922,-7.932007,-12.943300247192383,1.0,1.0
21,178,5,0.0,0.0,0.99473685,-14.342141151428223,0.99473685,-14.342141151428223,0.99473685,-14.342141151428223
45,175,8,0.0,0.0,1.0,-14.786704063415527,1.0,-14.786704063415527,1.0,-14.786704063415527
48,107,22,-3.3659794,-0.1880757063627243,-1.176976,-13.847597122192383,-0.9862543,-13.868699073791504,1.0,1.0
5,205,12,0.0,0.0,-2.736661,-8.563849449157715,-2.8812392,-8.603346824645996,0.0,0.0
23,157,17,0.0,5.476451478898525E-4,-9.037635,-13.781307220458984,-8.944445,-13.813435554504395,1.0,1.0
31,176,15,0.0,0.0,-2.2482758,-13.545153617858887,-2.162069,-13.553919792175293,0.0,0.0
18,186,10,0.0,0.0,-5.1646447,-13.072461128234863,-5.0901213,-13.084127426147461,0.0,0.0
27,134,5,0.0,0.0,1.0,-14.517241477966309,1.0,-14.517241477966309,1.0,-14.517241477966309
35,195,20,0.0,7.03977479133755E-4,-5.2495446,-14.107004165649414,-5.15847,-14.119852066040039,1.0,1.0
2,76,8,0.0,0.0,-0.094527364,-7.903409004211426,-0.21393035,-8.02455997467041,0.0,0.0
23,224,22,0.0,0.0,-10.149742,-12.12528133392334,-10.148021,-12.155217170715332,0.0,0.0
43,236,14,0.0,0.0,0.7919463,-14.2850341796875,0.79362416,-14.28520393371582,0.840604,-14.289965629577637
45,171,12,0.0,0.0,0.9761092,-13.674820899963379,0.97952217,-13.67514705657959,0.9914676,-13.676288604736328
25,210,20,0.0,1.7283097258768976E-4,-9.886076,-12.734877586364746,-9.81736,-12.756481170654297,1.0,1.0
4,143,25,-0.043844856,0.008307747542858124,-0.51264757,-8.170489311218262,-0.59527826,-8.23695182800293,1.0,1.0
23,170,24,-0.0067001674,0.007553317584097385,-9.916248,-10.026362419128418,-9.9246235,-10.055391311645508,1.0,1.0
33,111,9,0.0,1.7562347056809813E-4,0.9581818,-14.802072525024414,0.96181816,-14.802423477172852,0.97636366,-14.803828239440918
16,224,12,0.0,0.0,-8.739703,-12.015237808227539,-8.678748,-12.037120819091797,0.0,0.0
41,220,14,0.0,0.0,0.70098037,-13.486289978027344,0.71895427,-13.488225936889648,0.0,0.0
48,144,20,-0.18013468,0.020705796778202057,-0.41750842,-15.046092987060547,-0.32828283,-15.056715965270996,1.0,1.0
16,227,19,0.0,0.0,-9.534965,-11.019660949707031,-9.590909,-11.050508499145508,-0.0017482517,-1.69491526321508E-4
47,130,22,-0.7121212,0.01989668980240822,-1.5959595,-15.898411750793457,-1.2811447,-15.939736366271973,1.0,1.0
37,163,7,0.0,0.0,1.0,-16.772512435913086,1.0,-16.772512435913086,1.0,-16.772512435913086
28,134,19,-0.04712042,0.010168462991714478,-7.600349,-11.621338844299316,-7.4799304,-11.64410400390625,1.0,1.0
1,194,10,0.0,0.0,0.21107267,-7.114763259887695,0.25259516,-7.1694207191467285,0.0,0.0
38,199,23,-0.010169491,0.002133245812729001,-5.216949,-13.000984191894531,-5.1322036,-13.013291358947754,1.0,1.0
12,152,22,-0.008503402,0.0012099213199689984,-5.612245,-11.620285987854004,-5.7738094,-11.688041687011719,1.0,1.0
43,196,7,0.0,0.0,1.0,-16.516544342041016,1.0,-16.516544342041016,1.0,-16.516544342041016
25,107,19,-0.31239936,0.03184473514556885,-8.198068,-14.234407424926758,-7.879227,-14.364424705505371,1.0,1.0
7,206,9,0.0,0.0,-7.625,-10.635690689086914,-7.7413197,-10.677658081054688,0.0,0.0
13,238,8,0.0,0.0,-7.6496477,-13.945795059204102,-7.5739436,-13.962542533874512,0.0,0.0
28,147,10,0.0,0.0,0.41990668,-13.598142623901367,0.43545878,-13.599771499633789,0.0,0.0
5,139,6,0.0,0.0,-6.4268503,-11.661565780639648,-6.626506,-11.736088752746582,0.0,0.0
20,96,8,0.0,0.0,-0.53084415,-13.876984596252441,-0.45616883,-13.88550853729248,0.0,0.0
4,122,8,0.0,0.0,-2.7214532,-8.856722831726074,-2.9100347,-8.927929878234863,0.0,0.0
5,204,8,0.0,0.0,-4.5970397,-8.857142448425293,-4.756579,-8.898601531982422,0.0,0.0
1,91,11,-0.0017035775,0.0,0.2197615,-6.4566521644592285,0.16865417,-6.546588897705078,1.0,1.0
17,230,19,0.0,0.0,-9.349338,-10.696935653686523,-9.395696,-10.720806121826172,0.0,0.0
33,116,24,-1.0907534,0.03164556995034218,-8.008562,-12.334794044494629,-7.607877,-12.43151569366455,1.0,1.0
10,183,8,0.0,0.0,-9.953688,-12.760951042175293,-9.941681,-12.794921875,0.0,0.0
45,155,25,-0.28787878,0.0265215914696455,-3.9023569,-13.70809268951416,-3.7037036,-13.736144065856934,1.0,1.0
42,141,5,0.0,0.0,1.0,-14.630427360534668,1.0,-14.630427360534668,1.0,-14.630427360534668
36,240,11,0.0,0.0,0.8735441,-12.720476150512695,0.8801997,-12.721086502075195,0.9201331,-12.724748611450195
38,184,22,-0.0049751243,0.0032763013150542974,-4.7412934,-14.599199295043945,-4.6451077,-14.61630916595459,1.0,1.0
27,235,13,0.0,0.0,-2.3969595,-15.008391380310059,-2.337838,-15.015504837036133,0.0,0.0
48,196,16,0.0,0.0,0.76744187,-15.252124786376953,0.77242523,-15.252667427062988,0.0,0.0
15,185,21,0.0,1.712328812573105E-4,-8.006667,-10.582877159118652,-8.121667,-10.624828338623047,0.0,0.0
18,158,10,0.0,0.0,-4.56962,-12.169767379760742,-4.46519,-12.185145378112793,0.0,0.0
16,239,11,0.0,0.0,-8.381197,-13.731756210327148,-8.31282,-13.751806259155273,0.0,0.0
31,177,13,0.0,0.0,-0.70934254,-16.138729095458984,-0.6747405,-16.142967224121094,0.0,0.0
23,214,11,0.0,0.0,-2.5441697,-13.492901802062988,-2.4734983,-13.500824928283691,0.0,0.0
21,173,18,0.0,0.0,-9.406557,-12.13400650024414,-9.347541,-12.166834831237793,0.0,0.0
40,128,9,0.0,0.0,0.99833053,-15.354534149169922,0.99833053,-15.354534149169922,1.0,-15.354715347290039
41,115,20,-0.8500882,0.016655100509524345,-2.2098765,-14.26700210571289,-1.8747796,-14.308639526367188,1.0,1.0
23,196,21,-0.0016051364,-1.7421602387912571E-4,-9.492777,-12.362195014953613,-9.455859,-12.394250869750977,1.0,1.0
5,203,20,0.0,0.0,-1.1369863,-7.912362575531006,-1.2277397,-7.954182147979736,0.0,0.0
34,187,16,0.0,0.0,-1.8446602,-15.52786636352539,-1.7977346,-15.53499698638916,0.0,0.0
30,82,18,-2.4546952,-0.1287892758846283,-4.9686985,-14.70512580871582,-4.5255356,-14.78486156463623,1.0,1.0
21,174,5,0.0,0.0,0.9902439,-13.673731803894043,0.9902439,-13.673731803894043,0.998374,-13.67454719543457
10,90,24,-1.3899821,-0.012967200949788094,-4.486583,-10.40617847442627,-5.316637,-10.662281036376953,1.0,1.0
39,175,11,0.0,0.0,0.9407666,-16.000377655029297,0.9425087,-16.000566482543945,0.966899,-16.003211975097656
17,125,23,-0.18416524,0.022288260981440544,-8.807229,-11.7459135055542,-8.948365,-11.842310905456543,1.0,1.0
50,127,20,-0.61290324,0.01894238404929638,-0.06451613,-16.631807327270508,0.0713073,-16.647987365722656,0.05942275,-16.6466064453125
48,212,15,0.0,0.0,0.8829268,-13.579766273498535,0.88455284,-13.579928398132324,0.91219515,-13.582684516906738
36,236,25,-0.0016583748,3.422313602641225E-4,-7.4013267,-13.149897575378418,-7.349917,-13.165811538696289,1.0,1.0
30,87,14,-0.47009966,0.03234599158167839,-1.7059801,-15.033072471618652,-1.2857143,-15.08940601348877,1.0,1.0
11,227,6,0.0,0.0,-5.6567655,-13.481557846069336,-5.6039605,-13.492827415466309,0.0,0.0
37,176,18,0.0,8.173941751010716E-4,-2.3065069,-13.368317604064941,-2.2277398,-13.376981735229492,1.0,1.0
37,220,22,0.0,1.704739115666598E-4,-5.5512366,-13.566484451293945,-5.482332,-13.579099655151367,1.0,1.0
