"b","f","n","four_means_ce","four_means_pe","three_means_ce","three_means_pe","two_means_ce","two_means_pe","SCT_ce","SCT_pe"
46,204,10,0.0,0.0,1.0,-15.19870376586914,1.0,-15.19870376586914,1.0,-15.19870376586914
12,188,17,0.0,0.0,-7.775862,-10.593792915344238,-7.912069,-10.637829780578613,0.0,0.0
4,129,7,0.0,0.0,-3.0965059,-9.518404006958008,-3.297837,-9.598367691040039,0.0,0.0
42,204,15,0.0,0.0,0.4770017,-16.72199249267578,0.48722318,-16.723176956176758,0.0,0.0
44,226,13,0.0,0.0,0.8820422,-15.016562461853027,0.8873239,-15.017097473144531,0.92077464,-15.02048110961914
48,224,19,0.0,0.0,-0.09859155,-16.658695220947266,-0.061619718,-16.663240432739258,0.0,0.0
20,216,11,0.0,0.0,-4.9184027,-14.72341251373291,-4.8402777,-14.737323760986328,0.0,0.0
45,170,11,0.0,0.0,0.9934426,-13.188239097595215,0.9934426,-13.188239097595215,0.9967213,-13.188554763793945
15,179,13,0.0,0.0,-9.55628,-12.304325103759766,-9.525286,-12.338062286376953,0.0,0.0
14,124,11,0.0,0.0,-9.267558,-11.306268692016602,-9.183947,-11.341888427734375,0.0,0.0
39,231,5,0.0,0.0,1.0,-14.517241477966309,1.0,-14.517241477966309,1.0,-14.517241477966309
37,189,9,0.0,0.0,0.9934102,-12.873285293579102,0.9934102,-12.873285293579102,0.9934102,-12.873285293579102
32,221,14,0.0,0.0,-1.029703,-13.764774322509766,-0.9933993,-13.768936157226562,0.0,0.0
22,228,14,0.0,0.0,-6.717428,-13.62569808959961,-6.641286,-13.641410827636719,0.0,0.0
28,213,17,0.0,0.0,-6.249554,-14.875351905822754,-6.1568627,-14.893345832824707,0.0,0.0
3,203,5,0.0,0.0,-1.809287,-9.125800132751465,-1.8955224,-9.173340797424316,0.0,0.0
29,149,10,0.0,0.0,0.5344538,-14.871572494506836,0.5462185,-14.872811317443848,0.0,0.0
40,226,14,0.0,0.0,0.57575756,-15.208197593688965,0.5811052,-15.208739280700684,0.6684492,-15.2175874710083
49,220,15,0.0,0.0,0.9093851,-14.776881217956543,0.91100323,-14.777056694030762,0.9223301,-14.778284072875977
21,176,10,0.0,0.0,-2.6254356,-14.617809295654297,-2.5383275,-14.627782821655273,0.0,0.0
5,202,5,0.0,0.0,-8.651568,-9.975164413452148,-8.729965,-10.008492469787598,0.0,0.0
39,151,18,-0.013722127,0.00558108976110816,-1.3653517,-13.526756286621094,-1.2795883,-13.536276817321777,1.0,1.0
15,185,20,0.0,1.9391118257772177E-4,-8.731239,-12.27225112915039,-8.802793,-12.311614990234375,1.0,1.0
25,194,14,0.0,0.0,-4.691275,-14.242010116577148,-4.59396,-14.259410858154297,0.0,0.0
47,212,18,0.0,0.0,0.2429022,-14.810811042785645,0.2555205,-14.812224388122559,1.0,1.0
7,190,20,0.0,0.0,-2.214765,-9.677057266235352,-2.327181,-9.73313045501709,0.0,0.0
16,135,7,0.0,0.0,-1.7799672,-13.841777801513672,-1.6945813,-13.851371765136719,0.0,0.0
19,177,10,0.0,0.0,-4.20398,-13.561424255371094,-4.114428,-13.573405265808105,0.0,0.0
26,208,11,0.0,0.0,-0.9194079,-14.95667839050293,-0.8799342,-14.961891174316406,0.0,0.0
21,239,6,0.0,0.0,0.9066214,-14.491732597351074,0.9066214,-14.491732597351074,0.9541596,-14.49655532836914
2,172,12,0.0,0.0,0.04477612,-7.262217044830322,-0.014925373,-7.318406105041504,-0.0016583748,-1.7027073772624135E-4
36,151,6,0.0,0.0,1.0,-14.342652320861816,1.0,-14.342652320861816,1.0,-14.342652320861816
49,207,6,0.0,0.0,1.0,-14.786704063415527,1.0,-14.786704063415527,1.0,-14.786704063415527
20,179,13,0.0,0.0,-7.3453608,-12.934182167053223,-7.268041,-12.956958770751953,0.0,0.0
3,222,9,0.0,0.0,-0.9741824,-7.825606822967529,-1.0464716,-7.867447853088379,0.0,0.0
8,204,8,0.0,0.0,-9.944445,-11.9791898727417,-10.021505,-12.014968872070312,0.0,0.0
14,133,8,0.0,0.0,-5.9,-13.02828311920166,-5.774138,-13.048295974731445,0.0,0.0
36,234,18,0.0,0.0,-2.6083188,-13.405028343200684,-2.5441942,-13.412093162536621,0.0,0.0
