Threshold, Pixels, dV
2663.0 , 607, 0.0
2673.0 , 604, 0.0
2683.0 , 602, 0.0
2693.0 , 599, 0.0
2703.0 , 592, 0.0
2713.0 , 585, 0.0
2723.0 , 583, 0.0
2733.0 , 576, 0.0
2743.0 , 570, 0.0
2753.0 , 561, 0.0
2763.0 , 554, 0.0
2773.0 , 547, 0.0
2783.0 , 542, 0.0
2793.0 , 537, 0.0
2803.0 , 532, 0.0
2813.0 , 529, 0.0
2823.0 , 521, 0.0
2833.0 , 518, 0.0
2843.0 , 514, 0.0
2853.0 , 505, 0.0
2863.0 , 502, 0.0
2873.0 , 493, 0.0
2883.0 , 491, 0.0
2893.0 , 487, 0.0
2903.0 , 478, 0.0
2913.0 , 476, 0.0
2923.0 , 470, 0.0
2933.0 , 467, 0.0
2943.0 , 463, 0.0
2953.0 , 461, 0.0
2963.0 , 455, 0.0
2973.0 , 454, 0.0
2983.0 , 450, 0.0
2993.0 , 448, 0.0
3003.0 , 444, 0.0
3013.0 , 440, 0.0
3023.0 , 434, 0.0
3033.0 , 429, 0.0
3043.0 , 425, 0.0
3053.0 , 419, 0.0
3063.0 , 415, 0.0
3073.0 , 409, 0.0
3083.0 , 398, 0.0
3093.0 , 395, 0.0
3103.0 , 390, 0.0
3113.0 , 385, 0.0
3123.0 , 378, 0.0
3133.0 , 377, 0.0
3143.0 , 377, 0.0
3153.0 , 375, 0.0
3163.0 , 372, 0.0
3173.0 , 368, 0.0
3183.0 , 367, 0.0
3193.0 , 364, 0.0
3203.0 , 362, 0.0
3213.0 , 357, 0.0
3223.0 , 356, 0.0
3233.0 , 352, 0.0
3243.0 , 349, 0.0
3253.0 , 347, 0.0
3263.0 , 346, 0.0
3273.0 , 344, 0.0
3283.0 , 339, 0.0
3293.0 , 338, 0.0
3303.0 , 334, 0.0
3313.0 , 325, 0.0
3323.0 , 324, 0.0
3333.0 , 323, 0.0
3343.0 , 322, 0.0
3353.0 , 321, 0.0
3363.0 , 320, 0.0
3373.0 , 318, 0.0
3383.0 , 317, 0.0
3393.0 , 312, 0.0
3403.0 , 311, 0.0
3413.0 , 310, 0.0
3423.0 , 310, 0.0
3433.0 , 306, 0.0
3443.0 , 302, 0.0
3453.0 , 297, 0.0
3463.0 , 293, 0.0
3473.0 , 289, 0.0
3483.0 , 286, 0.0
3493.0 , 284, 0.0
3503.0 , 279, 0.0
3513.0 , 279, 0.0
3523.0 , 278, 0.0
3533.0 , 274, 0.0
3543.0 , 273, 0.0
3553.0 , 270, 0.0
3563.0 , 269, 0.0
3573.0 , 268, 0.0
3583.0 , 264, 0.0
3593.0 , 262, 0.0
3603.0 , 261, 0.0
3613.0 , 259, 0.0
3623.0 , 257, 0.0
3633.0 , 255, 0.0
3643.0 , 252, 0.0
3653.0 , 251, 0.0
3663.0 , 248, 0.0
3673.0 , 248, 0.0
3683.0 , 247, 0.0
3693.0 , 245, 0.0
3703.0 , 242, 0.0
3713.0 , 242, 0.0
3723.0 , 241, 0.0
3733.0 , 239, 0.0
3743.0 , 238, 0.0
3753.0 , 237, 0.0
3763.0 , 233, 0.0
3773.0 , 230, 0.0
3783.0 , 228, 0.0
3793.0 , 227, 0.0
3803.0 , 226, 0.0
3813.0 , 224, 0.0
3823.0 , 222, 0.0
3833.0 , 222, 0.0
3843.0 , 221, 0.0
3853.0 , 220, 0.0
3863.0 , 219, 0.0
3873.0 , 218, 0.0
3883.0 , 217, 0.0
3893.0 , 214, 0.0
3903.0 , 211, 0.0
3913.0 , 211, 0.0
3923.0 , 211, 0.0
3933.0 , 209, 0.0
3943.0 , 209, 0.0
3953.0 , 208, 0.0
3963.0 , 207, 0.0
3973.0 , 206, 0.0
3983.0 , 206, 0.0
3993.0 , 204, 0.0
4003.0 , 200, 0.0
4013.0 , 200, 0.0
4023.0 , 199, 0.0
4033.0 , 199, 0.0
4043.0 , 198, 0.0
4053.0 , 197, 0.0
4063.0 , 196, 0.0
4073.0 , 193, 0.0
4083.0 , 192, 0.0
4093.0 , 190, 0.0
4103.0 , 190, 0.0
4113.0 , 187, 0.0
4123.0 , 187, 0.0
4133.0 , 186, 0.0
4143.0 , 184, 0.0
4153.0 , 184, 0.0
4163.0 , 181, 0.0
4173.0 , 179, 0.0
4183.0 , 177, 0.0
4193.0 , 175, 0.0
4203.0 , 173, 0.0
4213.0 , 173, 0.0
4223.0 , 173, 0.0
