Threshold,nT,second_derivative
2730.0 , 0.18078030060761113, 1.7588743204349777E-6
2740.0 , 0.17812599936040935, -3.1979533098830395E-7
2750.0 , 0.17543971858010873, 2.8781579788936253E-6
2760.0 , 0.17304125359769748, 2.0786696514230043E-6
2770.0 , 0.17085065558042853, -1.598976654940132E-7
2780.0 , 0.16864406779661018, -2.0786696514232817E-6
2790.0 , 0.1662296130476495, 1.9187719859292685E-6
2800.0 , 0.16400703549728174, -4.1573393028462855E-6
2810.0 , 0.16136872401662936, 3.1979533098830395E-7
2820.0 , 0.1587623920690758, 3.197953309881374E-6
2830.0 , 0.1564758554525104, 4.47713463383459E-6
2840.0 , 0.15463703229932843, -1.918771985928991E-6
2850.0 , 0.15260633194755358, 2.2385673169170174E-6
2860.0 , 0.15079948832747042, -1.7588743204349777E-6
2870.0 , 0.14881675727534377, -1.7588743204347E-6
2880.0 , 0.14665813879117365, -1.2791813239526606E-6
2890.0 , 0.14437160217460826, 2.2385673169170174E-6
2900.0 , 0.14230892228973457, 4.796929964823171E-7
2910.0 , 0.14029421170450912, 1.4390789894466738E-6
2920.0 , 0.13842340901822833, -3.1979533098816517E-6
2930.0 , 0.13623281100095938, 2.398464982411308E-6
2940.0 , 0.13428205948193156, -4.796929964823171E-7
2950.0 , 0.1322833386632555, 9.593859929646342E-7
2960.0 , 0.13038055644387592, -3.3578509753759422E-6
2970.0 , 0.12814198912695873, 1.5989766549429073E-7
2980.0 , 0.12591941157659098, 6.395906619763303E-7
2990.0 , 0.12376079309242086, 3.357850975375665E-6
3000.0 , 0.1219379597057883, -1.2791813239526606E-6
3010.0 , 0.11998720818676048, 1.4390789894466738E-6
3020.0 , 0.11818036456667733, 6.395906619764691E-7
3030.0 , 0.11643748001279182, -7.994883274704823E-7
3040.0 , 0.11461464662615926, -4.796929964823171E-7
3050.0 , 0.11274384393987848, 1.9187719859291296E-6
3060.0 , 0.1110649184521906, -1.5989766549415198E-7
3070.0 , 0.10937000319795331, 3.1979533098816515E-7
3080.0 , 0.10770706747681484, -3.1979533098816517E-6
3090.0 , 0.1057243364246882, 4.956827630316491E-6
3100.0 , 0.10423728813559321, 4.796929964824559E-7
3110.0 , 0.10279820914614647, -1.2791813239527993E-6
3120.0 , 0.10123121202430445, -3.0380556443876385E-6
3130.0 , 0.09936040933802366, 2.0786696514231427E-6
3140.0 , 0.09769747361688519, -3.1979533098816515E-7
3150.0 , 0.0960025583626479, 2.238567316917295E-6
3160.0 , 0.09453149984010234, -9.593859929646342E-7
3170.0 , 0.09296450271826032, -3.0380556443876385E-6
3180.0 , 0.09109370003197953, 3.83754397185812E-6
3190.0 , 0.08960665174288455, 2.0786696514230043E-6
3200.0 , 0.08832747041893188, -3.0380556443874996E-6
3210.0 , 0.08674448353054046, 3.357850975375665E-6
3220.0 , 0.0854972817396866, -2.558362647905321E-6
3230.0 , 0.08399424368404221, -1.758874320434839E-6
3240.0 , 0.08231531819635433, 3.6776463063638297E-6
3250.0 , 0.08100415733930284, -1.598976654940132E-7
3260.0 , 0.07967700671570195, 3.1979533098816515E-7
3270.0 , 0.07838183562519987, -2.0786696514231427E-6
3280.0 , 0.07687879756955548, -4.796929964821783E-7
3290.0 , 0.07532779021426288, 2.7182603133993343E-6
3300.0 , 0.0740486088903102, -1.598976654940132E-7
3310.0 , 0.07275343779980813, 9.593859929644955E-7
3320.0 , 0.0715542053086025, -1.2791813239527993E-6
3330.0 , 0.0702270546850016, 1.1192836584587861E-6
3340.0 , 0.06901183242724657, -1.5989766549415198E-7
3350.0 , 0.06778062040294212, -1.5989766549415198E-7
3360.0 , 0.06653341861208827, 1.1192836584586474E-6
3370.0 , 0.06539814518708027, -7.994883274704823E-7
3380.0 , 0.06418292292932523, 0.0
3390.0 , 0.06296770067157019, 1.9187719859291296E-6
3400.0 , 0.06194435561240806, -2.238567316917295E-6
3410.0 , 0.0606971538215542, 1.7588743204349777E-6
3420.0 , 0.05962583946274384, 1.5989766549408257E-7
3430.0 , 0.05857051487048289, -4.796929964822478E-7
3440.0 , 0.057467220978573715, -3.1979533098816515E-7
3450.0 , 0.05633194755356572, 1.598976654940132E-7
3460.0 , 0.05521266389510713, 9.593859929645648E-7
3470.0 , 0.054189318835944994, -7.994883274704129E-7
3480.0 , 0.05308602494403582, 2.238567316917156E-6
3490.0 , 0.052206587783818356, -9.593859929644955E-7
3500.0 , 0.051231212024304446, 7.994883274704129E-7
3510.0 , 0.050335785097537576, 1.918771985928991E-6
3520.0 , 0.049632235369363606, -2.718260313399404E-6
3530.0 , 0.048656859609849695, -4.796929964822478E-7
3540.0 , 0.04763351455068756, 9.593859929644955E-7
3550.0 , 0.046706108090821874, 6.395906619763303E-7
3560.0 , 0.04584266069715382, 1.5989766549408258E-6
3570.0 , 0.04513911096897985, -2.558362647905321E-6
3580.0 , 0.04417972497601535, 1.918771985928991E-6
3590.0 , 0.043412216181643745, -2.238567316917156E-6
3600.0 , 0.042420850655580426, 4.796929964822478E-7
3610.0 , 0.04147745442916533, 2.2385673169172254E-6
3620.0 , 0.04075791493444196, -9.593859929645648E-7
3630.0 , 0.03994243684042213, 2.558362647905321E-6
3640.0 , 0.03938279501119284, -3.677646306363899E-6
3650.0 , 0.03845538855132715, 3.038055644387569E-6
3660.0 , 0.03783178765590022, 1.27918132395273E-6
3670.0 , 0.037336104892868566, -2.398464982411308E-6
3680.0 , 0.03660057563159578, 0.0
3690.0 , 0.03586504637032299, -3.1979533098816515E-7
3700.0 , 0.03509753757595139, 7.994883274704823E-7
3710.0 , 0.034409977614326834, 4.796929964821783E-7
3720.0 , 0.0337703869523505, -6.395906619763303E-7
3730.0 , 0.033066837224176526, 1.598976654940895E-6
3740.0 , 0.032523185161496646, -2.398464982411308E-6
3750.0 , 0.031739686600575634, 6.395906619763303E-7
3760.0 , 0.031020147105852255, -9.593859929644955E-7
3770.0 , 0.030204669011832427, 0.0
3780.0 , 0.0293891909178126, 1.1192836584586127E-6
3790.0 , 0.028685641189638632, 4.79692996482213E-7
3800.0 , 0.028030060761112887, 1.439078989446778E-6
3810.0 , 0.02751838823153182, 1.2791813239526606E-6
3820.0 , 0.027134633834346018, -9.593859929644955E-7
3830.0 , 0.026654940837863766, 3.1979533098816515E-7
3840.0 , 0.026207227374480332, 3.1979533098816515E-7
3850.0 , 0.025791493444195714, 6.39590661976365E-7
3860.0 , 0.025439718580108732, -2.0786696514231427E-6
3870.0 , 0.024880076750879436, 1.2791813239526953E-6
3880.0 , 0.02444835305404541, -7.994883274704129E-7
3890.0 , 0.023936680524464342, 4.796929964822478E-7
3900.0 , 0.0234729772945315, 1.119283658458578E-6
3910.0 , 0.023121202430444514, -4.79692996482213E-7
3920.0 , 0.022721458266709307, -3.469446951953614E-20
3930.0 , 0.022321714102974097, -1.2791813239526606E-6
3940.0 , 0.02179405180684362, 1.7588743204349082E-6
3950.0 , 0.021442276942756636, -1.2791813239526606E-6
3960.0 , 0.020962583946274385, 1.119283658458578E-6
3970.0 , 0.020594819315637992, -4.796929964822478E-7
3980.0 , 0.020179085385353374, 0.0
3990.0 , 0.019763351455068755, 1.9187719859290254E-6
4000.0 , 0.01953949472337704, -3.517748640869886E-6
4010.0 , 0.018963863127598336, 1.1192836584586127E-6
4020.0 , 0.018500159897665493, 9.5938599296453E-7
4030.0 , 0.018132395267029103, 7.994883274703782E-7
4040.0 , 0.01784457946913975, -1.4390789894467432E-6
4050.0 , 0.017412855772305724, 1.5989766549408257E-7
4060.0 , 0.016997121842021106, 7.994883274704129E-7
4070.0 , 0.01666133674448353, 1.5989766549411727E-7
4080.0 , 0.016341541413495364, -6.39590661976365E-7
4090.0 , 0.015957787016309562, 1.4390789894467432E-6
4100.0 , 0.015717940518068435, -3.1979533098813047E-7
4110.0 , 0.015446114486728493, -1.5989766549408257E-7
4120.0 , 0.015158298688839143, -1.1192836584585953E-6
4130.0 , 0.014758554525103933, 1.7588743204349256E-6
4140.0 , 0.014534697793412215, -1.119283658458578E-6
4150.0 , 0.01419891269587464, 1.119283658458578E-6
4160.0 , 0.013975055964182923, 0.0
4170.0 , 0.013751199232491206, 1.5989766549408257E-7
4180.0 , 0.013543332267348896, -1.119283658458578E-6
4190.0 , 0.01322353693636073, 3.1979533098816515E-7
4200.0 , 0.01293572113847138, -3.197953309881825E-7
4210.0 , 0.01261592580748321, 1.598976654940999E-7
4220.0 , 0.012312120243044452, -3.197953309881825E-7
4230.0 , 0.011976335145506875, 9.593859929645127E-7
4240.0 , 0.01173648864726575, 4.796929964822478E-7
4250.0 , 0.011544611448672849, -1.5989766549408258E-6
4260.0 , 0.011192836584585865, 7.994883274704129E-7
4270.0 , 0.010921010553245923, 3.1979533098816515E-7
4280.0 , 0.010681164055004798, 1.5989766549408257E-7
4290.0 , 0.01045730732331308, -6.395906619763477E-7
4300.0 , 0.010169491525423728, 1.1192836584586127E-6
4310.0 , 0.009993604093380237, -3.197953309881825E-7
4320.0 , 0.009785737128237928, 6.395906619763303E-7
4330.0 , 0.009641829229293252, -6.395906619763303E-7
4340.0 , 0.009433962264150943, -3.1979533098816515E-7
4350.0 , 0.009194115765909817, 1.279181323952678E-6
4360.0 , 0.00908218740006396, 1.5989766549406523E-7
4370.0 , 0.008986248800767508, -7.994883274704129E-7
4380.0 , 0.008810361368724016, -3.197953309881478E-7
4390.0 , 0.008602494403581708, -3.197953309881825E-7
4400.0 , 0.008362647905340583, 9.593859929644955E-7
4410.0 , 0.008218740006395907, 0.0
4420.0 , 0.00807483210745123, 1.598976654940999E-7
4430.0 , 0.007946913975055965, -1.279181323952678E-6
4440.0 , 0.00769107771026543, 1.279181323952678E-6
4450.0 , 0.007563159577870163, -4.796929964822478E-7
4460.0 , 0.007387272145826671, -1.5989766549409125E-7
4470.0 , 0.0071953949472337705, -3.1979533098816515E-7
4480.0 , 0.006971538215542053, -1.5989766549408257E-7
4490.0 , 0.006731691717300928, 3.1979533098816515E-7
4500.0 , 0.0065238247521586185, 4.796929964822563E-7
4510.0 , 0.006363927086664535, -3.1979533098817383E-7
4520.0 , 0.006172049888071634, 0.0
4530.0 , 0.005980172689478733, 3.1979533098817383E-7
4540.0 , 0.00582027502398465, 4.796929964822478E-7
4550.0 , 0.005708346658138791, -1.5989766549408257E-7
4560.0 , 0.005580428525743524, 0.0
