Time,Blue Intensity,Green Intensity,Red Intensity,Green Red Intensity Correlation Quotient,Green Red Pearson
-0.5,563.5551147460938,187.52552795410156,1658.96484375,0.6986994743347168,0.28544349017939724
-0.5,819.9436645507812,59.56686782836914,1141.4228515625,0.7796581132071358,0.5617827766225572
-0.5,752.1456909179688,225.46383666992188,1539.8245849609375,0.7395873546600342,0.34589536902919893
-0.5,863.8624877929688,142.7243194580078,1115.334228515625,0.7874497307671441,0.6442091251308144
-0.5,671.2092895507812,280.08966064453125,1525.6905517578125,0.8068466186523438,0.5458203411487017
-0.5,847.1351928710938,125.37525177001953,1204.775390625,0.7855259047614204,0.642885493661617
-0.5,683.8623657226562,73.12022399902344,1399.4639892578125,0.8197728792826334,0.656000217363963
-0.5,664.6571655273438,76.99424743652344,1323.326171875,0.8235073089599609,0.675092534082731
-0.5,601.1320190429688,113.08602905273438,898.3700561523438,0.8019412159919739,0.659339832765315
-0.5,487.9106750488281,100.14812469482422,1089.3472900390625,0.790923936026437,0.6710103932020297
-0.5,713.3796997070312,132.9439697265625,1078.9921875,0.833742618560791,0.6087988514917326
-0.5,923.7094116210938,183.9332733154297,2089.479248046875,0.8123939832051595,0.5402287476807989
-0.5,924.948486328125,86.17503356933594,1024.1202392578125,0.7880064646402994,0.6505816114808858
0,1438.9090576171875,123.6151123046875,773.3875122070312,0.75830078125,0.566721985967252
0,1011.629150390625,210.92372131347656,1188.007080078125,0.7654645442962646,0.40334441709214686
0,1479.5709228515625,313.0885925292969,989.0248413085938,0.7405407245342548,0.4648724356484873
0,902.1613159179688,308.31585693359375,981.067138671875,0.6978441874186198,0.4013734120519764
0,1728.677978515625,356.7648620605469,1370.80224609375,0.7031068120683942,0.37513980738164504
0,1043.536376953125,286.54791259765625,747.8960571289062,0.7308629353841146,0.43300471574215454
0,1354.1309814453125,340.281494140625,878.5226440429688,0.7742582798004151,0.5248711289022625
0,1371.659912109375,73.74309539794922,687.1360473632812,0.7348662482367622,0.5173384991110825
0,1240.48779296875,91.6375732421875,857.3970336914062,0.7795734405517578,0.5615442460126204
0,1420.957275390625,369.1683654785156,1382.3892822265625,0.7422502040863037,0.39500229104979945
