"b","f","n","five_means_ce","five_means_pe","four_means_ce","four_means_pe","three_means_ce","three_means_pe","two_means_ce","two_means_pe",SCT_ce,"SCT_pe"
22,199,22,1.0,-6.547169811320755,0.043726235741444866,0.0024318658280922433,-4.349809885931559,-6.172914046121593,-4.2965779467680605,-6.179287211740042,-3.2072243346007605,-0.6535849056603774
4,190,20,1.0,-7.297990042411949,0.035916824196597356,0.0017517978978425226,-2.739130434782609,-4.644661626406048,-2.8638941398865785,-4.671676193988567,-2.7882797731569,-0.7000737599114881
1,152,6,1.0,-8.003601440576231,0.0,0.0,-0.23586744639376217,-4.191476590636254,-0.5321637426900585,-4.345738295318127,0.12475633528265107,-0.43177270908363347
45,147,21,1.0,-6.62970498474059,0.05186721991701245,0.018396066463207867,0.9398340248962656,-6.627246524245507,0.941908713692946,-6.627331298745338,-6.232365145228216,-1.3118853848762293
46,190,9,1.0,-6.9232326789330045,0.007889546351084813,3.5214367461924466E-4,1.0,-6.9232326789330045,1.0,-6.9232326789330045,0.07100591715976332,-0.38533321595210845
28,143,11,1.0,-6.504377553572917,0.01764705882352941,8.338197281747686E-4,0.996078431372549,-6.504210789627282,0.996078431372549,-6.504210789627282,-1.2294117647058824,-0.4400066705578254
13,190,17,1.0,-7.305647840531561,0.02490421455938697,9.228497600590623E-4,-6.940613026819923,-6.445182724252492,-6.894636015325671,-6.4610557401255075,-1.9655172413793103,-0.5684754521963824
1,147,24,1.0,-6.457121551081283,0.06776180698151951,0.007539978457204408,-1.1478439425051334,-3.528047062722678,-1.2361396303901437,-3.553069848371862,-5.408624229979466,-0.9396801723423648
17,80,14,1.0,-7.351893095768374,0.06958250497017893,0.023942093541202674,-2.6819085487077534,-7.121009651076466,-2.5467196819085487,-7.131959910913141,-5.819085487077535,-1.7193763919821827
5,108,11,1.0,-6.615501776950414,0.0211864406779661,0.0013538669825689626,-6.686440677966102,-4.937299035369775,-6.819915254237288,-4.974530377390422,-2.4788135593220337,-0.5279235065154848
45,238,19,1.0,-7.019246190858059,0.023655913978494623,8.019246190858059E-4,0.978494623655914,-7.01835516350352,0.978494623655914,-7.01835516350352,-2.0817204301075267,-0.5326561525438831
50,227,9,1.0,-7.155128669807901,0.0,0.0,1.0,-7.155128669807901,1.0,-7.155128669807901,0.12578616352201258,-0.3560166727075027
39,145,9,1.0,-7.53161437103043,0.0148975791433892,7.583657218693715E-4,1.0,-7.53161437103043,1.0,-7.53161437103043,-1.2104283054003724,-0.5451701583088444
13,128,8,1.0,-7.1381680079573195,0.004016064257028112,1.808481779546071E-4,-0.1706827309236948,-7.079211501944118,-0.08634538152610442,-7.083461434126051,-0.15060240963855423,-0.4091690026222986
48,165,9,1.0,-7.753160863645205,0.009380863039399626,4.8628671464695587E-4,1.0,-7.753160863645205,1.0,-7.753160863645205,-0.7354596622889306,-0.5238280490177009
37,123,25,1.0,-6.79896013864818,0.0038910505836575876,0.07409012131715771,-0.27431906614785995,-6.734835355285962,-0.21595330739299612,-6.738214904679376,-4.842412451361867,-1.859792027729636
44,136,7,1.0,-6.656316461080391,0.001976284584980237,8.507018290089324E-5,1.0,-6.656316461080391,1.0,-6.656316461080391,-0.19960474308300397,-0.3726074011059124
