std_dev,mean,max-mean,mean-min,channel
929.9511889557376,1171.1796226415095,4537.82037735849,1171.1796226415095,"red"
1261.8002405377624,1482.4940198273105,5066.505980172689,1482.4940198273105,"red"
880.9432796216555,1154.908181818182,5050.091818181818,1154.908181818182,"red"
1215.3187674572594,1400.7585891812867,5695.241410818713,1400.7585891812867,"red"
610.2691555188194,769.2090313737435,2711.7909686262565,769.2090313737435,"blue"
457.26429158428334,550.2835169491525,2972.7164830508473,550.2835169491525,"blue"
608.9150655970469,783.9882127192982,2809.011787280702,783.9882127192982,"blue"
446.8572613369245,639.9010606060606,2233.0989393939394,639.9010606060606,"blue"
186.47986181869697,296.8066037735849,4128.193396226415,269.8066037735849,"green"
536.2208114674108,526.7388551327151,6704.261144867285,526.738855132715,"green"
155.6929574425563,305.9119886363636,1184.0880113636363,274.9119886363636,"green"
826.3801650082498,663.8425621345029,11795.157437865497,663.8425621345029,"green"
